generation,best,mean,worst
0,130.580052,176.773622,212.973020
1,122.475027,165.031974,197.015393
2,122.475027,157.702783,190.006183
3,117.973235,150.048623,199.317627
4,110.332853,142.187739,179.208898
5,110.332853,136.213741,172.314702
6,103.562841,130.563193,174.365861
7,101.094084,125.747501,163.690785
8,99.593987,123.055319,163.343165
9,99.593987,119.956326,155.353928
10,99.593987,114.520775,153.865048
11,95.826371,111.991890,160.601867
12,92.580565,108.353989,142.998230
13,92.580565,108.165967,149.569547
14,89.893780,104.845826,135.214964
15,89.893780,104.327014,128.962593
16,89.041542,104.565697,136.068093
17,89.041542,104.142091,136.215162
18,87.668728,104.428605,155.174005
19,87.047042,100.973490,128.304614
20,86.194803,99.754604,144.416109
21,86.194803,97.720417,145.629511
22,84.378378,96.543706,136.238528
23,84.378378,95.333242,134.954286
24,84.081647,92.840181,129.111832
25,82.728195,91.033005,130.198751
26,82.728195,93.080478,135.958164
27,82.728195,92.936843,140.116388
28,82.728195,91.914252,164.838253
29,80.402824,89.667145,122.594984
30,80.402824,90.030219,115.454665
31,80.402824,89.828443,133.947114
32,79.902803,88.994065,137.283143
33,79.902803,88.196393,132.696207
34,79.018656,87.470705,131.621743
35,79.018656,88.185640,140.542326
36,79.018656,88.921426,131.854568
37,78.973580,86.694786,127.125692
38,78.973580,85.841426,132.600212
39,78.829604,87.730283,144.103530
40,77.527106,85.971638,119.806552
41,77.527106,84.706701,139.998358
42,77.527106,85.169905,132.603525
43,77.527106,82.415587,124.082588
44,77.492495,80.757775,112.697069
45,77.492495,81.527499,108.730304
46,77.492495,81.662510,133.904746
47,77.492495,83.073636,136.500269
48,77.492495,82.156015,121.261281
49,77.492495,82.296597,121.957798
50,77.492495,79.721022,125.957430
51,77.492495,78.971523,120.042316
52,77.492495,80.008849,129.503998
53,77.492495,78.585428,109.982225
54,77.492495,80.785998,116.131677
55,77.492495,79.771583,129.503998
56,77.492495,81.255552,137.088029
57,77.492495,79.191492,120.125024
58,77.492495,79.750163,120.125024
59,77.492495,80.457341,129.503998
