generation,best,mean,worst
0,130.580052,175.156217,218.686717
1,127.794861,164.101529,207.659623
2,116.688034,155.863716,192.367387
3,110.818641,150.236657,199.559140
4,106.384972,144.739561,190.055832
5,106.384972,140.459517,179.507000
6,96.012772,137.064930,174.571559
7,96.012772,134.487560,176.421455
8,96.012772,131.134625,188.815402
9,92.422540,128.126146,191.166645
10,92.422540,124.448648,178.766830
11,90.078630,121.493802,173.397677
12,82.902433,118.006545,166.144880
13,82.902433,115.128338,175.024659
14,82.902433,112.591435,163.727995
15,82.902433,111.389615,154.537514
16,82.145844,108.542194,158.618598
17,82.145844,106.326480,161.516149
18,82.145844,104.082302,147.416355
19,80.717200,102.611922,163.461932
20,80.717200,101.621722,155.694514
21,80.717200,99.137002,151.031373
22,80.717200,98.097793,161.505559
23,80.717200,96.810625,139.570944
24,79.876676,96.474635,144.810677
25,79.086785,95.529115,145.071862
26,79.086785,93.835780,154.229884
27,79.086785,94.629754,147.263745
28,79.086785,94.525675,155.236171
29,79.086785,93.636375,142.894160
30,79.086785,92.544575,135.950022
31,79.011178,91.889677,148.606606
32,78.181947,93.033435,157.931081
33,78.181947,92.362376,149.189357
34,78.181947,91.946661,148.809310
35,78.181947,91.352416,154.411596
36,77.985476,90.835778,146.414826
37,77.985476,90.116793,140.035744
38,77.697818,90.755809,155.091754
39,77.697818,90.698852,138.159201
40,77.697818,90.543205,151.922986
41,77.697818,89.798086,140.268836
42,77.697818,90.457972,139.505108
43,77.697818,91.547227,150.136253
44,77.697818,90.632759,140.500519
45,77.697818,90.325261,142.741943
46,77.697818,91.030318,148.123354
47,77.697818,90.178345,143.991996
48,77.697818,88.611376,146.263151
49,77.697818,87.340714,133.939640
50,77.697818,84.843798,144.845462
51,77.697818,83.596072,135.640126
52,77.697818,82.309880,131.488840
53,77.697818,82.937344,138.135190
54,77.697818,83.542384,149.651619
55,77.697818,80.900530,158.547453
56,77.697818,80.371055,131.738670
57,77.697818,79.183462,136.795177
58,77.697818,79.888235,132.787471
59,77.697818,79.615532,127.074412
60,77.697818,79.684938,126.053670
61,77.697818,79.399127,131.488840
62,77.697818,79.224708,131.488840
63,77.697818,79.287698,131.738670
64,77.697818,79.387107,131.738670
65,77.697818,79.034120,129.818865
66,77.697818,79.410251,127.371299
67,77.697818,79.436054,132.787471
68,77.697818,80.027575,131.738670
69,77.697818,79.439050,131.738670
70,77.697818,79.933171,127.780184
71,77.697818,78.720142,129.818865
72,77.697818,79.466876,132.787471
73,77.697818,79.477243,125.102866
74,77.697818,79.737566,132.787471
75,77.697818,79.467425,127.780184
76,77.697818,79.193430,131.738670
77,77.697818,79.808328,131.738670
78,77.697818,79.552475,136.795177
79,77.697818,79.828050,131.488840
80,77.697818,79.867396,131.738670
81,77.697818,79.983074,129.818865
82,77.697818,79.418293,127.074412
83,77.697818,79.486804,132.787471
84,77.697818,79.480246,136.795177
85,77.697818,79.769917,136.795177
86,77.697818,79.440098,131.488840
87,77.697818,79.652861,122.261851
88,77.697818,79.671039,127.074412
89,77.697818,79.756643,132.787471
90,77.697818,79.121493,131.488840
91,77.697818,79.026636,125.950610
92,77.697818,79.405626,131.738670
93,77.697818,79.613449,131.488840
94,77.697818,79.904890,136.795177
95,77.697818,79.652452,131.488840
96,77.697818,79.346810,127.780184
97,77.697818,79.090876,127.780184
98,77.697818,80.011844,131.738670
99,77.697818,79.551039,121.008879
100,77.697818,79.969046,136.795177
101,77.697818,79.966538,136.795177
102,77.697818,79.521915,131.488840
103,77.697818,79.731291,136.795177
104,77.697818,79.869535,127.780184
105,77.697818,80.193993,127.074412
106,77.697818,79.371784,123.087846
107,77.697818,80.008895,136.795177
108,77.697818,78.713866,136.795177
109,77.697818,79.013798,122.261851
110,77.697818,79.287304,125.102866
111,77.697818,79.874499,132.787471
112,77.697818,79.876899,132.787471
113,77.697818,79.741012,136.795177
114,77.697818,79.294723,136.795177
115,77.697818,80.046093,132.787471
116,77.697818,80.157904,126.053670
117,77.697818,79.532847,127.074412
118,77.697818,79.406715,136.795177
119,77.697818,79.874201,136.795177
120,77.697818,79.476420,129.818865
121,77.697818,79.413356,127.780184
122,77.697818,79.433709,129.818865
123,77.697818,79.452008,136.795177
124,77.697818,79.405061,123.087846
125,77.697818,79.677262,131.738670
126,77.697818,80.820085,131.738670
127,77.697818,79.410597,132.787471
128,77.697818,79.433765,127.371299
129,77.697818,79.332628,132.787471
130,77.697818,79.523879,129.818865
131,77.697818,80.381224,136.795177
132,77.697818,79.890981,127.780184
133,77.697818,79.393282,136.795177
134,77.697818,79.577827,131.488840
135,77.697818,79.168756,132.787471
136,77.697818,79.577072,131.738670
137,77.697818,79.824695,131.738670
138,77.697818,80.018114,131.738670
139,77.697818,79.881843,131.738670
140,77.697818,79.757172,136.795177
141,77.697818,79.480681,129.818865
142,77.697818,79.852951,129.818865
143,77.697818,79.608734,136.795177
144,77.697818,79.493647,136.795177
145,77.697818,79.664662,129.818865
146,77.697818,79.590220,131.738670
147,77.697818,79.410975,125.102866
148,77.697818,79.901595,136.795177
149,77.697818,79.668450,131.488840
150,77.697818,79.721896,129.818865
151,77.697818,79.513729,132.787471
152,77.697818,79.867592,131.738670
153,77.697818,79.428527,127.371299
154,77.697818,79.607084,131.488840
155,77.697818,79.458008,124.263863
156,77.697818,79.732133,136.795177
157,77.697818,79.619796,124.108231
158,77.697818,79.905418,131.738670
159,77.697818,80.454325,132.787471
160,77.697818,79.739046,136.795177
161,77.697818,79.746765,132.787471
162,77.697818,79.629663,131.488840
163,77.697818,80.029806,129.818865
164,77.697818,79.588755,127.780184
165,77.697818,79.623467,131.488840
166,77.697818,79.903606,136.795177
167,77.697818,80.054978,136.795177
168,77.697818,79.382387,132.787471
169,77.697818,79.833220,136.795177
170,77.697818,79.611332,131.488840
171,77.697818,79.157000,129.818865
172,77.697818,79.593428,136.795177
173,77.697818,79.597569,131.488840
174,77.697818,79.678692,132.787471
175,77.697818,79.827794,131.488840
176,77.697818,78.868402,129.818865
177,77.697818,79.489785,131.738670
178,77.697818,79.910779,131.488840
179,77.697818,79.713092,129.818865
180,77.697818,79.768697,136.795177
181,77.697818,79.970648,132.787471
182,77.697818,79.942242,136.795177
183,77.697818,79.732776,136.795177
184,77.697818,79.659737,127.780184
185,77.697818,79.265847,131.738670
186,77.697818,79.966651,136.795177
187,77.697818,79.949131,131.738670
188,77.697818,79.649877,136.795177
189,77.697818,79.955927,129.818865
190,77.697818,79.535554,136.795177
191,77.697818,79.363284,127.780184
192,77.697818,80.069124,136.795177
193,77.697818,79.429219,131.738670
194,77.697818,79.549483,131.738670
195,77.697818,79.366585,127.780184
196,77.697818,79.373043,132.787471
197,77.697818,79.776248,126.053670
198,77.697818,79.822219,127.780184
199,77.697818,79.436382,129.818865
200,77.697818,79.792357,126.053670
201,77.697818,79.728370,131.488840
202,77.697818,79.840327,129.818865
203,77.697818,79.585729,136.795177
204,77.697818,79.595527,129.818865
205,77.697818,79.318586,127.371299
206,77.697818,79.994445,136.795177
207,77.697818,79.766471,136.795177
208,77.697818,79.982235,127.780184
209,77.697818,79.883812,136.795177
210,77.697818,79.442857,131.488840
211,77.697818,79.764414,127.371299
212,77.697818,79.164284,124.108231
213,77.697818,79.565704,136.795177
214,77.697818,79.914713,136.795177
215,77.697818,79.418399,131.738670
216,77.697818,79.271921,132.787471
217,77.697818,79.798838,127.074412
218,77.697818,79.722883,127.371299
219,77.697818,80.728273,136.795177
220,77.697818,79.168895,132.787471
221,77.697818,79.654395,127.371299
222,77.697818,79.479341,136.795177
223,77.697818,80.365797,136.795177
224,77.697818,79.300618,131.488840
225,77.697818,80.161223,127.371299
226,77.697818,79.326700,129.818865
227,77.697818,79.625812,131.488840
228,77.697818,79.886335,136.795177
229,77.697818,79.647397,132.787471
230,77.697818,79.522379,127.371299
231,77.697818,79.483977,136.795177
232,77.697818,79.292181,127.371299
233,77.697818,79.808331,127.780184
234,77.697818,79.673741,132.787471
235,77.697818,80.154795,131.488840
236,77.697818,79.387860,131.488840
237,77.697818,79.349547,129.818865
238,77.697818,79.790194,136.795177
239,77.697818,79.680857,127.780184
240,77.697818,79.535149,131.738670
241,77.697818,79.627094,136.795177
242,77.697818,79.717092,126.053670
243,77.697818,79.239178,131.738670
244,77.697818,79.789254,136.795177
245,77.697818,79.856029,131.488840
246,77.697818,79.893847,129.818865
247,77.697818,79.800436,144.830333
248,77.697818,79.818266,136.795177
249,77.697818,79.079215,131.738670
250,77.697818,79.544984,136.795177
251,77.697818,79.842906,136.795177
252,77.697818,79.352210,124.263863
253,77.697818,78.829171,129.818865
254,77.697818,79.713243,136.795177
255,77.697818,80.164516,136.795177
256,77.697818,79.920880,131.738670
257,77.697818,79.993261,129.818865
258,77.697818,79.125511,132.787471
259,77.697818,79.118269,136.795177
260,77.697818,79.674480,136.795177
261,77.697818,79.400391,132.787471
262,77.697818,79.292149,125.950610
263,77.697818,80.091778,132.787471
264,77.697818,79.949766,127.074412
265,77.697818,79.638034,131.738670
266,77.697818,80.063195,136.795177
267,77.697818,79.744615,127.371299
268,77.697818,80.012537,127.074412
269,77.697818,79.275831,132.787471
270,77.697818,79.158192,129.818865
271,77.697818,79.852515,127.371299
272,77.697818,80.134180,136.795177
273,77.697818,79.541430,132.787471
274,77.697818,79.676682,132.787471
275,77.697818,79.523929,136.795177
276,77.697818,79.184296,131.488840
277,77.697818,79.770956,125.102866
278,77.697818,79.609125,131.488840
279,77.697818,80.072760,131.738670
280,77.697818,79.542858,136.795177
281,77.697818,79.342309,132.787471
282,77.697818,80.176113,125.950610
283,77.697818,79.874935,127.371299
284,77.697818,79.566190,131.738670
285,77.697818,79.405931,127.780184
286,77.697818,80.108290,131.488840
287,77.697818,79.535112,131.738670
288,77.697818,79.436124,129.818865
289,77.697818,79.626796,136.795177
290,77.697818,79.333913,127.074412
291,77.697818,79.356100,136.795177
292,77.697818,79.455072,131.488840
293,77.697818,80.120968,131.738670
294,77.697818,79.059197,136.795177
295,77.697818,79.618733,127.371299
296,77.697818,79.543046,126.053670
297,77.697818,80.078355,136.795177
298,77.697818,79.748886,132.787471
299,77.697818,79.625196,131.738670
300,77.697818,79.509035,125.950610
301,77.697818,79.431437,131.738670
302,77.697818,79.060637,127.371299
303,77.697818,79.488310,127.074412
304,77.697818,79.575913,132.787471
305,77.697818,79.923496,132.787471
306,77.697818,79.402626,127.371299
307,77.697818,79.089700,132.787471
308,77.697818,79.194127,129.818865
309,77.697818,80.033542,136.795177
310,77.697818,80.101888,127.371299
311,77.697818,80.031823,131.738670
312,77.697818,80.042835,136.795177
313,77.697818,79.468617,129.818865
